state_name,county,city,city_ascii
Alabama,Autauga,Prattville,Prattville
Alabama,Autauga,Pine Level,Pine Level
Alabama,Autauga,Marbury,Marbury
Alabama,Autauga,Autaugaville,Autaugaville
Alabama,Autauga,Billingsley,Billingsley
Alabama,Baldwin,Daphne,Daphne
Alabama,Baldwin,Fairhope,Fairhope
Alabama,Baldwin,Foley,Foley
Alabama,Baldwin,Gulf Shores,Gulf Shores
Alabama,Baldwin,Spanish Fort,Spanish Fort
Alabama,Baldwin,Orange Beach,Orange Beach
Alabama,Baldwin,Bay Minette,Bay Minette
Alabama,Baldwin,Robertsdale,Robertsdale
Alabama,Baldwin,Loxley,Loxley
Alabama,Baldwin,Bon Secour,Bon Secour
Alabama,Baldwin,Stapleton,Stapleton
Alabama,Baldwin,Elberta,Elberta
Alabama,Baldwin,Lillian,Lillian
Alabama,Baldwin,Point Clear,Point Clear
Alabama,Baldwin,Summerdale,Summerdale
Alabama,Baldwin,Magnolia Springs,Magnolia Springs
Alabama,Baldwin,Silverhill,Silverhill
Alabama,Baldwin,Perdido Beach,Perdido Beach
Alabama,Baldwin,Perdido,Perdido
Alabama,Baldwin,Stockton,Stockton
Alabama,Barbour,Eufaula,Eufaula
Alabama,Barbour,Clayton,Clayton
Alabama,Barbour,Clio,Clio
Alabama,Barbour,Louisville,Louisville
Alabama,Barbour,Bakerhill,Bakerhill
Alabama,Barbour,Blue Springs,Blue Springs
Alabama,Bibb,Brent,Brent
Alabama,Bibb,Centreville,Centreville
Alabama,Bibb,West Blocton,West Blocton
Alabama,Bibb,Woodstock,Woodstock
Alabama,Blount,Oneonta,Oneonta
Alabama,Blount,Remlap,Remlap
Alabama,Blount,Blountsville,Blountsville
Alabama,Blount,Snead,Snead
Alabama,Blount,Smoke Rise,Smoke Rise
Alabama,Blount,Hayden,Hayden
Alabama,Blount,Cleveland,Cleveland
Alabama,Blount,Susan Moore,Susan Moore
Alabama,Blount,Locust Fork,Locust Fork
Alabama,Blount,Allgood,Allgood
Alabama,Blount,Rosa,Rosa
Alabama,Blount,Highland Lake,Highland Lake
Alabama,Blount,Nectar,Nectar
Alabama,Blount,County Line,County Line
Alabama,Bullock,Union Springs,Union Springs
Alabama,Bullock,Midway,Midway
Alabama,Bullock,Fitzpatrick,Fitzpatrick
Alabama,Butler,Greenville,Greenville
Alabama,Butler,Georgiana,Georgiana
Alabama,Butler,McKenzie,McKenzie
Alabama,Calhoun,Anniston,Anniston
Alabama,Calhoun,Oxford,Oxford
Alabama,Calhoun,Jacksonville,Jacksonville
Alabama,Calhoun,Saks,Saks
Alabama,Calhoun,Piedmont,Piedmont
Alabama,Calhoun,West End-Cobb Town,West End-Cobb Town
Alabama,Calhoun,Alexandria,Alexandria
Alabama,Calhoun,Weaver,Weaver
Alabama,Calhoun,Choccolocco,Choccolocco
Alabama,Calhoun,Ohatchee,Ohatchee
Alabama,Calhoun,Hobson City,Hobson City
Alabama,Calhoun,White Plains,White Plains
Alabama,Calhoun,Nances Creek,Nances Creek
Alabama,Chambers,Valley,Valley
Alabama,Chambers,Lanett,Lanett
Alabama,Chambers,Huguley,Huguley
Alabama,Chambers,La Fayette,La Fayette
Alabama,Chambers,Waverly,Waverly
Alabama,Chambers,Fredonia,Fredonia
Alabama,Chambers,Five Points,Five Points
Alabama,Chambers,Cusseta,Cusseta
Alabama,Chambers,Penton,Penton
Alabama,Chambers,Abanda,Abanda
Alabama,Chambers,Standing Rock,Standing Rock
Alabama,Cherokee,Centre,Centre
Alabama,Cherokee,Cedar Bluff,Cedar Bluff
Alabama,Cherokee,Sand Rock,Sand Rock
